city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Lillesand,Lillesand,58.25,8.38,Norway,NO,NOR,Aust-Agder,minor,7930,1578656800
Meland,Meland,60.56,5.12,Norway,NO,NOR,Hordaland,,7812,1578232899
Løten,Loten,60.83,11.39,Norway,NO,NOR,Hedmark,minor,7625,1578380533
Råde,Rade,59.35,10.86,Norway,NO,NOR,Østfold,minor,7568,1578124710
Sykkylven,Sykkylven,62.39,6.58,Norway,NO,NOR,Møre og Romsdal,minor,7596,1578956080
Alstahaug,Alstahaug,65.96,12.57,Norway,NO,NOR,Nordland,,7394,1578600009
Åsnes,Asnes,60.65,12.15,Norway,NO,NOR,Hedmark,,7227,1578246078
Stryn,Stryn,61.84,6.86,Norway,NO,NOR,Sogn og Fjordane,minor,7118,1578858252
Oppdal,Oppdal,62.57,9.60,Norway,NO,NOR,Sør-Trøndelag,minor,6981,1578849787
Vestnes,Vestnes,62.58,7.02,Norway,NO,NOR,Møre og Romsdal,minor,6958,1578076851
Sunndalsøra,Sunndalsora,62.61,8.63,Norway,NO,NOR,Møre og Romsdal,minor,6956,1578534979
Jevnaker,Jevnaker,60.24,10.39,Norway,NO,NOR,Oppland,minor,6867,1578372169
Risør,Risor,58.72,9.23,Norway,NO,NOR,Aust-Agder,minor,6762,1578561387
Svelvik,Svelvik,59.61,10.40,Norway,NO,NOR,Vestfold,,6685,1578000775
Rissa,Rissa,63.66,10.04,Norway,NO,NOR,Sør-Trøndelag,minor,6644,1578239109
Trysil,Trysil,61.31,12.32,Norway,NO,NOR,Hedmark,minor,6580,1578166787
Melhus,Melhus,63.29,10.28,Norway,NO,NOR,Sør-Trøndelag,minor,6517,1578189830
Mesøy,Mesoy,66.79,13.68,Norway,NO,NOR,Nordland,,6247,1578714789
Bø,Bo,59.46,9.03,Norway,NO,NOR,Telemark,minor,6101,1578828260
Klæbu,Klaebu,63.28,10.51,Norway,NO,NOR,Sør-Trøndelag,minor,6067,1578201422
Spydeberg,Spydeberg,59.62,11.08,Norway,NO,NOR,Østfold,minor,6042,1578595903
Sandnessjøen,Sandnessjoen,66.02,12.63,Norway,NO,NOR,Nordland,minor,6052,1578514131
Froland,Froland,58.58,8.57,Norway,NO,NOR,Aust-Agder,minor,6004,1578327983
Andebu,Andebu,59.30,10.11,Norway,NO,NOR,Vestfold,,5937,1578001085
Kvinesdal,Kvinesdal,58.34,7.02,Norway,NO,NOR,Vest-Agder,minor,5922,1578047466
Vereide,Vereide,61.74,6.17,Norway,NO,NOR,Sogn og Fjordane,,5885,1578845165
Surnadal,Surnadal,62.95,8.77,Norway,NO,NOR,Møre og Romsdal,minor,5872,1578658046
Våler,Valer,59.47,10.92,Norway,NO,NOR,Østfold,minor,5805,1578761897
Sveio,Sveio,59.57,5.36,Norway,NO,NOR,Hordaland,minor,5798,1578821046
Stavern,Stavern,59.00,10.03,Norway,NO,NOR,Vestfold,,5773,1578995534
Nord-Fron,Nord-Fron,61.60,9.75,Norway,NO,NOR,Oppland,,5705,1578656915
